name,student_email,username,password,school_name,class,parent_1_name,parent_1_phone,parent_1_email,parent_2_name,parent_2_phone,parent_2_email,address,pin_code,mode_of_transport,carpool,car_details,fuel_type
Sai Sethi,sai.sethi@themother'sinternationalschool.edu.in,sai733,Pass3294,The Mother's International School,6,Sarthak Garg,917545347654,sarthak.garg@gmail.com,Nirvaan Agarwal,919587096444,nirvaan.agarwal@gmail.com,"B-11, Greater Kailash, New Delhi",110048,Car,N,Mahindra Scorpio,Diesel
Kiaan Reddy,kiaan.reddy@themother'sinternationalschool.edu.in,kiaan780,Pass6628,The Mother's International School,7,Aarav Tyagi,917455553804,aarav.tyagi@hotmail.com,Aditya Verma,917746764108,aditya.verma@yahoo.com,"D-6, Safdarjung Enclave, New Delhi",110029,Bus,,,Diesel
Laksh Reddy,laksh.reddy@themother'sinternationalschool.edu.in,laksh887,Pass3688,The Mother's International School,7,Krishna Mehta,919952473964,krishna.mehta@yahoo.com,Vivaan Tripathi,918748010939,vivaan.tripathi@hotmail.com,"A-16, Rohini, New Delhi",110085,Car,N,Hyundai i20,Petrol
Aditya Verma,aditya.verma@springdalesschool.edu.in,aditya523,Pass9665,Springdales School,8,Tanay Desai,917692991596,tanay.desai@hotmail.com,Ayush Gupta,919404978216,ayush.gupta@hotmail.com,"C-4, Dwarka, New Delhi",110075,Bus,,,Diesel
Yuvraj Desai,yuvraj.desai@sanskritischool.edu.in,yuvraj731,Pass8401,Sanskriti School,1,Ritvik Nair,919978847281,ritvik.nair@hotmail.com,Aryan Kapoor,918419221677,aryan.kapoor@hotmail.com,"C-18, Safdarjung Enclave, New Delhi",110029,Car,Y,Volkswagen Polo,Petrol
Ayush Gill,ayush.gill@sanskritischool.edu.in,ayush820,Pass6741,Sanskriti School,8,Ishaan Sethi,919965647132,ishaan.sethi@hotmail.com,Gaurav Nair,918957261498,gaurav.nair@hotmail.com,"A-17, Dwarka, New Delhi",110075,Car,N,Ford EcoSport,Diesel
Aarav Garg,aarav.garg@delhipublicschool.edu.in,aarav235,Pass5182,Delhi Public School,1,Nirvaan Singh,917724774569,nirvaan.singh@gmail.com,Raghav Bansal,919158264138,raghav.bansal@gmail.com,"C-23, Saket, New Delhi",110017,Car,N,Volkswagen Polo,Petrol
Tanay Mishra,tanay.mishra@springdalesschool.edu.in,tanay199,Pass1633,Springdales School,8,Tanishq Saini,918372192363,tanishq.saini@hotmail.com,Om Nair,919242565899,om.nair@gmail.com,"B-24, Greater Kailash, New Delhi",110048,Car,Y,Mahindra Scorpio,Diesel
Nirvaan Verma,nirvaan.verma@springdalesschool.edu.in,nirvaan843,Pass9798,Springdales School,6,Samarth Gill,919672676817,samarth.gill@gmail.com,Manan Sharma,918070877212,manan.sharma@gmail.com,"A-3, Pitampura, New Delhi",110034,Car,Y,Hyundai i20,Petrol
Gaurav Reddy,gaurav.reddy@vasantvalleyschool.edu.in,gaurav308,Pass3176,Vasant Valley School,5,Ujjwal Pillai,918456192711,ujjwal.pillai@hotmail.com,Aarav Gupta,917225940325,aarav.gupta@yahoo.com,"C-23, Malviya Nagar, New Delhi",110017,Car,N,Mahindra Scorpio,Diesel
